smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,AromaticRings,QED,Lipinski_Violations,scaffold,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,assay_chembl_id,target_chembl_id,document_chembl_id,type1_confidence,type1_reasoning
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,429.32199999999983,3.2750000000000012,2,7,75.2,6,3,0.6231140863863042,0,c1ccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)cc1,CHEMBL162622,IC50,0.65,nM,9.19,CHEMBL674648,CHEMBL203,CHEMBL1131301,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,430.30999999999983,2.67,2,8,88.09,6,3,0.6174903737511086,0,c1ccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)cc1,CHEMBL294475,IC50,0.81,nM,9.09,CHEMBL679947,CHEMBL203,CHEMBL1130057,0.8999999999999999,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,411.2669999999999,3.3035999999999994,3,7,104.30000000000001,6,4,0.44725881605236345,0,c1ccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)cc1,CHEMBL53426,IC50,0.25,nM,9.6,CHEMBL679947,CHEMBL203,CHEMBL1130057,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
Brc1cccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)c1,411.2669999999999,3.2344999999999997,2,8,93.44,6,4,0.5032385939614786,0,c1ccc(Nc2ncnc3cnc(NCCn4ccnc4)nc23)cc1,CHEMBL271328,IC50,2.344,nM,8.63,CHEMBL952131,CHEMBL203,CHEMBL1143196,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2ncnc3cnccc23)c1,301.1469999999999,3.530900000000001,1,4,50.7,2,3,0.7864226288611571,0,c1ccc(Nc2ncnc3cnccc23)cc1,CHEMBL51265,IC50,51.0,nM,7.29,CHEMBL680021,CHEMBL203,CHEMBL1129564,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2ncnc3ncccc23)c1,301.1469999999999,3.530900000000001,1,4,50.7,2,3,0.7864226288611571,0,c1ccc(Nc2ncnc3ncccc23)cc1,CHEMBL54475,IC50,688.0,nM,6.16,CHEMBL680021,CHEMBL203,CHEMBL1129564,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
Brc1cccc(Nc2nnnc3ccccc23)c1,301.1469999999999,3.530900000000001,1,4,50.7,2,3,0.7864226288611571,0,c1ccc(Nc2nnnc3ccccc23)cc1,CHEMBL119758,IC50,1000.0,nM,,CHEMBL677204,CHEMBL203,CHEMBL1128536,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)C1,455.4739999999999,2.7882000000000007,2,6,114.94999999999999,7,4,0.4340502672809981,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CNC5)c4[nH]3)cc2)cc1,CHEMBL4867893,IC50,88.3,nM,7.05,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.95,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,425.44799999999987,2.779600000000001,2,5,105.72,5,4,0.4797299100942174,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CNC5)c4[nH]3)cc2)cc1,CHEMBL4863088,IC50,33.8,nM,7.47,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.95,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,457.46499999999986,3.3088000000000015,2,5,105.72,5,4,0.44867164059769554,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,CHEMBL4852264,IC50,38.6,nM,7.41,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.95,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(OC)cc5)cc4)[nH]c23)CC1,483.52799999999985,3.5684000000000022,2,6,114.94999999999999,7,4,0.40706427045626475,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,CHEMBL4856592,IC50,50.8,nM,7.29,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.8999999999999999,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)C1,439.47499999999985,3.1697000000000015,2,5,105.72,5,4,0.4660327838267861,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,CHEMBL4875332,IC50,29.7,nM,7.53,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.95,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)[nH]c23)CC1,453.50199999999984,3.559800000000002,2,5,105.72,5,4,0.4508201409129321,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNCC5)c4[nH]3)cc2)cc1,CHEMBL4871192,IC50,30.8,nM,7.51,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.8999999999999999,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccccc5OC)cc4)[nH]c23)C1,469.50099999999986,3.178300000000001,2,6,114.94999999999999,7,4,0.42108998781563867,0,c1ccc(Oc2ccc(-c3cn4ncc(C5CCNC5)c4[nH]3)cc2)cc1,CHEMBL4873984,IC50,104.0,nM,6.98,CHEMBL4843876,CHEMBL203,CHEMBL4842353,0.95,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,368.1939999999999,3.1026000000000016,2,5,79.8,3,3,0.694863572755517,0,c1ccc(Nc2ncnc3cnccc23)cc1,CHEMBL378144,IC50,0.6,nM,9.22,CHEMBL862512,CHEMBL203,CHEMBL1138126,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,469.93299999999977,2.6129,2,8,110.19,10,3,0.3658328805466014,0,c1cc2c(OCC3CCNC3)nc(Nc3cn[nH]c3)nc2[nH]1,CHEMBL3786812,Ki,10.0,nM,8.0,CHEMBL3790712,CHEMBL203,CHEMBL3785081,0.8999999999999999,Activity in Type 1 range; Activity in typical Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cc(Nc2ncnc3cc(OC)c(OC)cc23)ccc1F,323.32699999999977,3.511000000000002,1,5,56.27000000000001,6,3,0.744696458691166,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL65250,IC50,4.0,nM,8.4,CHEMBL678292,CHEMBL203,CHEMBL1135760,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cc2c(cc1OC)-c1[nH]nc(-c3ccc(C#N)nc3)c1C2,312.3319999999998,2.9044800000000004,1,4,74.59,3,3,0.5775163837196398,0,c1cncc(-c2n[nH]c3c2Cc2ccccc2-3)c1,CHEMBL1972250,Ki,1995.26,nM,,CHEMBL1963766,CHEMBL203,CHEMBL1201862,0.75,Activity in Type 1 range; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,291.30599999999976,2.6862000000000013,1,4,51.46,4,3,0.7385528683433785,0,O=c1c2ccccc2ccn1-c1ccccc1,CHEMBL2442327,IC50,3060.0,nM,5.51,CHEMBL2446217,CHEMBL203,CHEMBL2440093,0.6,Activity in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,305.33299999999974,2.989200000000001,0,4,40.46,5,3,0.6984943156984673,0,O=c1c2ccccc2ccn1-c1ccccc1,CHEMBL2442319,IC50,3510.0,nM,5.46,CHEMBL2446217,CHEMBL203,CHEMBL2440093,0.6,Activity in Type 1 range; MW in Type 1 range; LogP in drug-like range; Aromatic ring count typical
C#Cc1cccc(Nc2nc(C)nc3oc(C)cc23)c1,263.2999999999999,3.564540000000002,1,4,50.95,4,3,0.7180811574505639,0,c1ccc(Nc2ncnc3occc23)cc1,CHEMBL3297892,IC50,30.0,nM,7.52,CHEMBL3299340,CHEMBL203,CHEMBL3297731,0.9999999999999999,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2nc(N)nc3[nH]c(CCc4ccccn4)cc23)c1,354.4169999999998,3.4452000000000016,3,5,92.51,6,4,0.47748618029442474,0,c1ccc(Nc2ncnc3[nH]c(CCc4ccccn4)cc23)cc1,CHEMBL2335379,IC50,19900.0,nM,4.7,CHEMBL2343569,CHEMBL203,CHEMBL2331499,0.65,Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,391.4269999999998,3.539600000000002,1,7,74.73000000000002,8,3,0.6443458926588158,0,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1,CHEMBL3805584,IC50,76.1,nM,7.12,CHEMBL3807187,CHEMBL203,CHEMBL3804755,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,305.33699999999976,3.371900000000002,1,5,56.27000000000001,6,3,0.7489468819361764,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL304929,Kd,0.55,nM,9.26,CHEMBL4394506,CHEMBL203,CHEMBL4393671,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCC(=O)NO)cc23)c1,364.3609999999998,2.2475000000000005,3,7,105.60000000000001,8,3,0.34988152031200914,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL3896110,IC50,100.0,nM,,CHEMBL3881964,CHEMBL203,CHEMBL3881527,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCC(=O)NO)cc23)c1,378.3879999999998,2.6376,3,7,105.60000000000001,9,3,0.32964858041912204,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL3976436,IC50,100.0,nM,,CHEMBL3881964,CHEMBL203,CHEMBL3881527,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1,418.49699999999973,3.464400000000002,1,7,68.74000000000001,9,3,0.4437567149339546,0,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1,CHEMBL5281903,IC50,0.81,nM,9.09,CHEMBL5230898,CHEMBL203,CHEMBL5230100,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC)c4c(c23)OCCO4)c1,333.3469999999998,3.134500000000002,1,6,65.50000000000001,4,3,0.7430098989992114,0,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1,CHEMBL3805236,IC50,10.9,nM,7.96,CHEMBL3807186,CHEMBL203,CHEMBL3804755,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,389.41099999999983,3.2936000000000014,1,7,74.73000000000002,4,3,0.6864585684338103,0,c1ccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)cc1,CHEMBL3806170,IC50,16.7,nM,7.78,CHEMBL3807186,CHEMBL203,CHEMBL3804755,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,347.3739999999998,3.524600000000002,1,6,65.50000000000001,5,3,0.7286030310120791,0,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1,CHEMBL3805039,IC50,9.2,nM,8.04,CHEMBL3807186,CHEMBL203,CHEMBL3804755,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1,379.41599999999977,2.7510000000000012,2,7,85.73000000000002,11,3,0.43668147159238385,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL3741490,IC50,1.0,nM,9.0,CHEMBL3745491,CHEMBL203,CHEMBL3739340,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)C=C)cc23)c1,388.4269999999998,3.504400000000002,2,6,85.37,9,3,0.3489879013981771,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL3622617,IC50,1.8,nM,8.74,CHEMBL3625155,CHEMBL203,CHEMBL3621102,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.44299999999976,3.405100000000002,1,7,74.73000000000002,12,3,0.4178840975839869,0,c1ccc(Nc2ncnc3ccccc23)cc1,CHEMBL553,IC50,0.029,nM,10.54,CHEMBL5260455,CHEMBL203,CHEMBL5257147,0.65,Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c4c(c23)OCCO4)c1,377.3999999999998,3.1511000000000013,1,7,74.73000000000002,7,3,0.5223856081627517,0,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1,CHEMBL3805461,IC50,8.1,nM,8.09,CHEMBL3807187,CHEMBL203,CHEMBL3804755,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)/C=C/CN(C)C)cc23)c1,457.53399999999976,3.578700000000002,2,7,88.61,10,3,0.3948337610217401,0,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,CHEMBL3622645,IC50,1.2,nM,8.92,CHEMBL3625155,CHEMBL203,CHEMBL3621102,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCCO4)c1,427.50799999999975,3.5880000000000027,1,6,70.59,7,3,0.4957558737690949,0,c1ccc(Nc2ncnc3cc4c(cc23)NCCCO4)cc1,CHEMBL3114698,IC50,10000.0,nM,,CHEMBL3118715,CHEMBL203,CHEMBL3112407,0.8999999999999999,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,413.48099999999977,3.1979000000000024,1,6,70.59,7,3,0.5117397632987148,0,c1ccc(Nc2ncnc3cc4c(cc23)NCCO4)cc1,CHEMBL3114690,IC50,3.0,nM,8.52,CHEMBL3118714,CHEMBL203,CHEMBL3112407,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCCO4)c1,482.58799999999974,3.2738000000000023,1,7,73.83000000000001,6,3,0.4419950526954336,0,O=C(/C=C/CN1CCNCC1)N1CCCOc2cc3ncnc(Nc4ccccc4)c3cc21,CHEMBL3114692,IC50,10000.0,nM,,CHEMBL3118715,CHEMBL203,CHEMBL3112407,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,468.56099999999975,2.883700000000002,1,7,73.83000000000001,6,3,0.45598049240227534,0,O=C(/C=C/CN1CCNCC1)N1CCOc2cc3ncnc(Nc4ccccc4)c3cc21,CHEMBL3114689,IC50,16.0,nM,7.8,CHEMBL3118714,CHEMBL203,CHEMBL3112407,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCCO4)c1,469.5449999999998,3.3586000000000027,1,7,79.82000000000001,5,3,0.4534308037858204,0,O=C(/C=C/CN1CCOCC1)N1CCCOc2cc3ncnc(Nc4ccccc4)c3cc21,CHEMBL3114691,IC50,10000.0,nM,,CHEMBL3118715,CHEMBL203,CHEMBL3112407,0.95,Activity in Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,455.5179999999998,2.9685000000000015,1,7,79.82000000000001,5,3,0.46805814369874327,0,O=C(/C=C/CN1CCOCC1)N1CCOc2cc3ncnc(Nc4ccccc4)c3cc21,CHEMBL3114699,IC50,12.0,nM,7.92,CHEMBL3118714,CHEMBL203,CHEMBL3112407,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)c1,443.5069999999998,2.8024000000000013,1,7,79.82000000000001,6,3,0.5870697506280481,0,O=C1COc2cc3ncnc(Nc4ccccc4)c3cc2N1CCCN1CCOCC1,CHEMBL3774926,IC50,139.0,nM,6.86,CHEMBL3776094,CHEMBL203,CHEMBL3774304,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,303.3209999999998,3.1259000000000015,1,5,56.27000000000001,2,3,0.7371467439211692,0,c1ccc(Nc2ncnc3cc4c(cc23)OCCO4)cc1,CHEMBL4453068,IC50,48.7,nM,7.31,CHEMBL4730561,CHEMBL203,CHEMBL4725422,1.0,Activity in Type 1 range; Activity in typical Type 1 range; Contains aniline substituent; MW in Type 1 range; LogP in drug-like range; H-bond features typical of Type 1; Aromatic ring count typical; General kinase inhibitor properties
